pavadinimas,direktorija,dydis,redagavimo_data,Statusas
N-34-042-CD-03,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-42-CD\N-34-042-CD-03\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-34-042-CD-04,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-42-CD\N-34-042-CD-04\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-34-042-CD-05,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-42-CD\N-34-042-CD-05\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-34-042-CD-06,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-42-CD\N-34-042-CD-06\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-34-042-CD-07,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-42-CD\N-34-042-CD-07\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-34-052-AB-07,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-34-52-AB\N-34-052-AB-07\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-35-028-CD-06,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-35-28-CD\N-35-028-CD-06\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-35-030-CD-01,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-35-30-CD\N-35-030-CD-01\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
N-35-032-CD-03,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\N-35-32-CD\N-35-032-CD-03\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
O-34-028-CD-12,C:\Users\dovyd\PycharmProjects\Projektinis_darbas\Duomenys\Pradiniai_duomenys\O-34-28-CD\O-34-028-CD-12\PDF,1157055,2022-03-07 18:23:50.572872,Formatas atitiko
